"idx","study","region","background_incidence","outbreak_frequency","endemicity","seasonality","notes","has_bg","has_freq"
"01","Neil 2012","Kasese District, Uganda","NA (only Africa-wide population-based range 13-845/100000/yr cited; no Kasese-specific pre-outbreak data)","NA (no prior Kasese outbreak history stated; detected via elevated intestinal-perforation cases starting Aug 2008)","Not explicitly classified; authors describe it as a persistent outbreak rather than stating endemic/hyperendemic status","Not explicitly discussed in text; Figure 1 shows case counts peaking Oct 2008-Feb 2009","Authors recommend targeted vaccination given prolonged outbreak; 99% would accept free vaccine; multiple circulating S. Typhi strains suggest recurring/multiple sources",TRUE,TRUE
"02","Kabwama 2017","Kampala, Uganda",NA,"NA for Kampala itself; paper cites prior Uganda outbreaks in Kasese District (2007-2009, 8092 cases) and Kasese/Bundibugyo (2009-2011) as comparators, not Kampala history",NA,NA,"No routine typhoid surveillance existed pre-outbreak in Kampala; >200 unprotected groundwater sources sustain recurrent contamination; mass vaccination floated as future option, not implemented",FALSE,TRUE
"03","N'Cho 2019","Harare, Zimbabwe",NA,"Cites prior Harare typhoid outbreaks: Davis 2018 (Oct 2016-Mar 2017), CDC 2012 report (Oct 2011-May 2012), Polonsky 2014 (2012 epidemic), Muti 2014 (Dzivaresekwa, 2011); recurrent/near-annual","Not stated explicitly as 'endemic'; described as recurrent, water-shortage-driven outbreaks","Poor water/sanitation + overcrowding is 'persistent driver of seasonal outbreaks of waterborne diseases in Harare'","TCV outbreak-response campaign (Gavi-funded), Jan-Feb 2019, 350,000 targeted, first TCV use/first outbreak response vax in Africa; prior outbreaks tied to municipal water shortages, contaminated boreholes/wells",FALSE,TRUE
"04","Davis 2018","Harare, Zimbabwe",NA,NA,NA,NA,"MISFILED: PDF is N'cho 2019 Oct2017-Feb2018 Harare outbreak report, not the cited Davis 2018 Oct2016-Mar2017 paper (ref 2 here).",FALSE,FALSE
"05","Muti 2014","Dzivaresekwa, Harare, Zimbabwe",NA,"Prior resurgence Jan 2010 in Mabvuku/Tafara (Harare); this outbreak Oct 2011-Jun 2012 in Dzivaresekwa",NA,NA,"Recurrence attributed to chronic sewage/water reticulation failures, water cuts, aging pipes forcing use of contaminated shallow wells; no TCV mentioned",FALSE,TRUE
"06","Polonsky 2014","Harare, Zimbabwe",NA,"2011-2012 typhoid epidemic was the 4th enteric-infection epidemic since 2008 in Harare; Harare also had a typhoid epidemic in 2010, and cholera epidemics in 2008, 2009, 2010","Inverse age-risk gradient observed, described as ""typical of typhoid-endemic areas""; sub-Saharan Africa described as region with greatest global typhoid incidence",NA,"Recurrence attributed to chronic underinvestment in water/sanitation infrastructure, irregular water supply, breakdown of sanitation, borehole contamination; no TCV mention",FALSE,TRUE
"07","Imanishi 2014","Harare, Zimbabwe",NA,"2009 Mabvuku typhoid outbreak (Harare suburb, PFGE-linked to 2011-12 strains); also 2008-2009 Harare cholera outbreak",NA,NA,"Post-2008-09 cholera outbreak spurred WaterGuard launch (2010). PFGE links 2011-12 strains to 2009 Mabvuku outbreak, Malawi, Tanzania isolates; suggests persistence.",FALSE,TRUE
"08","Walters 2014","Kasese/Bundibugyo, Uganda",NA,"Kasese outbreak began 2008 (ref Neil 2012), continued through 2011; ""epidemics of waterborne/foodborne diseases, such as cholera and typhoid fever, have historically plagued both districts""; no pre-2011 Bundibugyo outbreak noted","Not stated as endemic pre-outbreak; authors note ""intense, sustained typhoid transmission occurs in rural areas of sub-Saharan Africa"" based on estimated annual incidence (409/100k Kasese, 820/100k Bundibugyo) exceeding Kenyan urban slum rates (247/100k)",NA,"Outbreak spread Kasese->Bundibugyo via shared water source (Kirumya-Bubukwanga GFS); driver = absence of sustained water intervention after 2009; MDR rose 5%->83%; TCV recommended as medium-term measure pending water infrastructure",FALSE,TRUE
"09","Qamar 2018","Hyderabad, Sindh, Pakistan","413 per 100,000 person-years (ages 2-4y) and 573 per 100,000 person-years (ages 5-15y) in Pakistan; cited from Ochiai et al. 2008 five-Asian-country burden study (ref 5)","MDR S Typhi endemic in Pakistan/south Asia since 1980s; fluoroquinolone resistance emerged over past two decades, rising 84.7%->91.7% in a 2009-11 national review, >90% of south Asian isolates now reduced ciprofloxacin susceptibility; ceftriaxone/cefixime resistance <1% in 2009-14 Pakistan data; ceftriaxone-resistant XDR H58 clone first identified Nov 30, 2016, ~100 cases by Mar 2017, 486 cases by Dec 30, 2017","Stated as endemic: ""healthy controls were selected in areas where typhoid fever is endemic and common""; Asia contributes 90% of global typhoid morbidity/mortality","NA - no seasonal pattern stated; epidemic curve (Nov 2016-Dec 2017) shows biweekly case peaks growing successively larger over time, consistent with a propagated (not seasonal) epidemic","TCV (Typbar) mass campaign started Mar 2018 for ages 6mo-10y in affected areas, ~115,000 doses by Oct 2018; water chlorination and sewerage repair recommended",TRUE,TRUE
"10","Yousafzai 2019","Hyderabad, Sindh, Pakistan","Typhoid ""endemic in South Asia,"" most common bacteremic illness in children in Pakistan; rates as high as 1000 cases/100,000 child-years reported from Karachi.","Ceftriaxone resistance previously rare: only 4 cases (0.01%) of ceftriaxone-resistant S. Typhi in Pakistan 2012-2015 (retrospective AKU lab surveillance); <1% ceftriaxone-resistant 2009-2012/2009-2014 in Karachi. XDR outbreak: 101 cases, 30 Nov 2016-28 Mar 2017 (~4 months), 2 subdistricts (Latifabad, Qasimabad); largest ceftriaxone-resistant S. Typhi outbreak reported worldwide.","Endemic in South Asia; Pakistan described as high-disease-burden country for typhoid/AMR.",NA,"Epidemic curve cyclical/irregular with 2 peaks, suggesting common-source + propagated transmission via contaminated water (sewage-line clustering, non-functioning sludge plants). TCV mass-vaccination pilot (children 6mo-10y) started last week of Jan 2018 in Hyderabad.",TRUE,TRUE
"11","Aye 2004","Madaya Township, Mandalay Division, Myanmar",NA,"Frequent common-source outbreaks reported in Myanmar since 1989; 4 major water-borne outbreaks in the decade to 2000; nearby Singaing township also had a typhoid outbreak","Typhoid described as ""one of the endemic diseases in Myanmar""; sporadic outbreaks frequently occurred 1989-2000","Notifiable disease occurrence peaks June-August","Recurrence driven by untreated Myaung River water, unsanitary latrines near riverbank, and heavy rain/flooding contaminating river; villages communicate daily enabling spread between townships",FALSE,TRUE
"12","Hechaichi 2023","Ghannouche, Gabes, Tunisia","Tunisia national incidence 0.32/100000 pop (last 5 yrs); ~35 sporadic cases/year reported nationally",NA,"Endemic-epidemic nationally; especially rural areas lacking safe water/sanitation (per Introduction)",NA,"Chronic carriage 2-5% of S. Typhi cases (general ref); clandestine softened-water sale units drove this outbreak's recurrence risk",TRUE,FALSE
"13","Scobie 2014 (targeted typhoid vaccination campaign)","Fiji (Northern, Western, Central, Eastern divisions)","33 cases/100,000/yr (2005, national); 136-1,052 cases/100,000/yr (2006, WHO estimate, Northern division, ""high"" per WHO >=100/100,000); national annual incidence 44, 40, 52, 42 per 100,000/yr in 2008-2011","At least 13 typhoid outbreaks reported in Fiji by media since 2005 (unpublished WHO-DPS data); recurrent outbreaks linked to cyclones (also Samoa)","Endemic nationally, markedly focal; Northern division highest (94-176/100,000/yr, 2008-2011) vs Western (22-54) and Central (19-38)","Seasonal peak Jan-July each year; cyclones common Nov-Apr, damaging WaSH infrastructure and preceding vaccination campaign","Fiji, ViPS vaccine post-Cyclone Tomas 2010. High-vaccination subdivision (92%) IRR=0.23 (77% decrease); mid-level (22-65%) IRR=0.24-0.58; low/no-vaccination subdivisions incidence increased 2-8x",TRUE,TRUE
"14","Keddy 2011","South Africa (Delmas/Mpumalanga)",NA,"Recurrent outbreaks in same town: >1000 cases in 1993, >600 cases in 2005 (12-year gap); linked S. Typhi strains persisted, causing isolated cases in 2007 and 2009; gastroenteritis outbreaks recurred 2007/2009","Parts of South Africa historically highly endemic, but national notifications have declined in recent years; some areas remain endemic where potable water is lacking, while disease is now uncommon in urbanized areas with water treatment","2005 outbreak peaked in September (cases rose late Aug, peaked Sept, declined by Oct)","National typhoid notifications declining overall; recurrence driven by unresolved unsafe water supply; suspected carrier(s) may sustain inter-outbreak circulation over 12 years",FALSE,TRUE
"15","Makungo 2020 (typhoid outbreak)","Sekhukhune District, Limpopo province, South Africa","No region-specific rate; national SA case counts cited: 6000 cases (1985) declining to 200 cases (2002)","Two largest prior SA outbreaks were Delmas, Mpumalanga in 1993 (>1000 cases) and 2005 (>600 cases); rural/peri-urban areas report recurrent water/foodborne outbreaks","South Africa shows mixed endemic disease and sporadic cases (GERMS-SA surveillance); rural areas remain at ongoing risk","NA - not discussed; outbreak (Nov-Dec 2017) linked to drought-driven municipal water interruption, not a stated seasonal cycle","South Africa, Limpopo province; drought/climate change and interrupted municipal water supply cited as recurrent national outbreak drivers",TRUE,TRUE
"16","Poncin 2018","Lusaka, Zambia",NA,NA,NA,NA,"Paper is about CHOLERA (Vibrio cholerae), not typhoid; no typhoid content in text. All fields NA.",FALSE,FALSE
"17","Lutterloh 2012","Neno District, Malawi / Tsangano District, Mozambique","Malawi and Mozambique are ""medium-incidence countries with estimated rates of 10-100 per 100,000 persons per year"" (citing WHO/Crump global burden estimate, not district-specific)","NA - no prior outbreak history for Neno/Tsangano given; paper states this is first reported MDR S. Typhi from Malawi or Mozambique (prior reports found only fully-susceptible strains)","Endemic per WHO classification (""medium-incidence""); no district-specific endemicity data","Outbreak onset 1 Mar-13 Nov 2009, peak Sep 2009; not described as recurring seasonal pattern, single point in time","PDF content is Malawi-Mozambique border outbreak (Neno District MW / Tsangano District MZ), NOT Uganda as study label suggests -- likely mislabeled/misfiled reference",TRUE,TRUE
"18","Hendriksen 2015 (MDR S. Typhi genomic)","Zambia (Lusaka, 41 periurban health centers, pop. 2.1M of 14.2M nationally)","NA - only outbreak counts given (2040 cases/14.2M pop over Jan 2010-Sep 2012; up to 369 cases per health center)","Concurrent large typhoid outbreaks in Zambia, Zimbabwe, and DRC from Nov 2010 (refs 7-10); outbreak persisted ~33 months with minimal intervention/control programs","Endemic with superimposed massive outbreak; Discussion states epidemiological data indicate typhoid is endemic in Zambia, outbreak ongoing 'for several years' before response","Monthly case peaks clustering Nov-Apr (rainy season), e.g. 190 and 246 cases in Jan/Feb 2012 vs troughs of 1-49 cases mid-year (Fig. 1)","Zambia (Lusaka); H58 lineage, novel H58B var. clone with chromosomal MDR translocation rather than IncHI1 plasmid",TRUE,TRUE
"19","Limpitikul 2014","Songkhla, Thailand","Pre-outbreak average incidence 1.8/100,000/year (5-yr average before outbreak); rose to 25.2/100,000 during 2009-2011 outbreak; Thailand overall regional incidence 0.9-83.6/100,000 (2013)","Two related outbreaks: 1st Oct 2009-Mar 2010, 2nd Sep 2010-Jul 2011, separated by ~5-month remission (Apr-Aug 2010); 2nd wave larger than 1st; outbreak ended with cases returning to historical (endemic) norms","Thailand endemic for typhoid; incidence low outside outbreaks but varies markedly by region and outbreak status","No clear seasonal cycle reported; remission during Apr-May coincided with school summer break, not intrinsic seasonality","PFGE showed same strain pattern across schools/months, suggesting common source; vaccination not used since source-control measures were expected to suffice",TRUE,TRUE
"20","Srinivasan 2022","Vellore, Tamil Nadu, India",NA,"SEFI pediatric cohort (~6,000 children, 4 urban settlements) under active surveillance Oct 2017-Dec 2019; outbreak (Apr-Jun 2019) detected as cases exceeding mean+2SD of surveillance counts in corresponding months of prior years 2017-2018, implying continuous sporadic/endemic transmission; no other prior outbreak explicitly described","Described as typhoid-endemic setting with suboptimal WaSH; short- and long-cycle S. Typhi transmission; only 8.6% of cohort vaccinated","Hot season Mar-Jul (May/June max temp 42C/39.2C 2019); majority of outbreak cases in May; water scarcity in summer proposed driver of seasonal surge","Overall cohort attack rate 0.9% (outbreak period); ref.4 (John 2018) is the source SEFI/NSSEFI incidence paper, not detailed here; H58 lineage II S. Typhi",FALSE,TRUE
