estimate_id,evidence_layer,study,location,year_or_period,estimate_positive_tested,analysis_role,source_basis,q1_1,q1_2,q1_3,q1_4,q2_1,q2_2,q2_3,q2_4,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q3_8,q4_1,q4_2,q4_3,q4_4,participants_risk_of_bias,participants_rationale,participants_applicability,participants_applicability_rationale,index_test_risk_of_bias,index_test_rationale,index_test_applicability,index_test_applicability_rationale,target_condition_risk_of_bias,target_condition_rationale,target_condition_applicability,target_condition_applicability_rationale,analysis_risk_of_bias,analysis_rationale,overall_risk_of_bias,overall_applicability,overall_rationale,ai_first_pass,human_confirmation_required,jhk_decision,jhk_review_date,jhk_notes,independent_reviewer,independent_review_date,independent_decision,independent_notes,consensus_status
LEGACY:Aye_2004,clinical_definition_ppv,Aye 2004,"Madaya, Myanmar",2000,3/22,target_primary,Human-approved extraction; count status: legacy_direct_or_audited. Use 3/22 as primary blood-culture evidence; incomplete verification has an unreported selection mechanism.,Y,NI,N,N,PY,Y,PY,PY,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,major. Culture was performed in a subset already selected using Diazo or Widal results,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,The clinical index definition is sufficiently explicit and precedes culture: Fever >=7 days plus at least one abdominal or gastrointestinal symptom,low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: legacy_direct_or_audited.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Neil_2012,clinical_definition_ppv,Neil 2012,"Kasese, Uganda",2007-2009,19/54,target_primary,Human-approved extraction; count status: legacy_direct_or_audited. Use 19/54 as primary blood-culture evidence; reject the obsolete pooled 25/63 count.,Y,NI,N,N,PY,Y,PY,PY,N,N,Y,Y,PN,NI,Y,PY,N,N,PY,Y,high,major. Culture was collected from a small clinically and temporally selected subset; early ascertainment was perforation skewed,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,"The clinical index definition is sufficiently explicit and precedes culture: Fever plus abdominal pain and at least one gastrointestinal or systemic symptom, antimalarial nonresponse, or intestinal perforation",low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: legacy_direct_or_audited.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Kabwama_2017,clinical_definition_ppv,Kabwama 2017,"Kampala, Uganda",2015,56/364,target_primary,Human-approved extraction; count status: legacy_direct_or_audited. Use 56/364 as primary blood-culture evidence; reject the stale 51/364 count.,Y,NI,N,N,PY,Y,PY,PY,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,Y,high,major. Cultures were obtained from a small subset at treatment centers; selection mechanism was not modeled,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,"The clinical index definition is sufficiently explicit and precedes culture: Fever >=37.5 C for >=3 days plus headache, abdominal pain, malaria-negative or treatment failure, and at least two gastrointestinal or fatigue symptoms",low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: legacy_direct_or_audited.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Hu_2022,clinical_definition_ppv,Hu 2022,"Lanling, China",2016,24/31,expanded_setting_sensitivity_only,"Human-approved extraction; count status: legacy_direct_or_audited. Use 24/31 as primary blood-culture evidence and fix blood volume at the verified 5 mL. Under the JHK-approved 2026-08-20 amendment, the clinical cohort/testing setting is outside the World Bank FY2027 low- or lower-middle-income target. Retain an otherwise usable pair only as expanded-setting sensitivity evidence.",Y,PY,PY,PY,PY,Y,PY,PY,N,Y,Y,Y,PN,NI,Y,PY,Y,Y,PY,Y,low,negligible/low. All 31 reported suspected cases were sampled under surveillance and hospital collection,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,The clinical index definition is sufficiently explicit and precedes culture: Sustained fever >=38 C for >3 days plus headache and fatigue with no other diagnosed cause,high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,low,"The aligned same-frame count is direct or near-complete, with minimal missing outcomes within the stated analytic cohort.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Makungo_2020,clinical_definition_ppv,Makungo 2020,"Makhuduthamaga, South Africa",2017,7/65,expanded_setting_sensitivity_only,"Human-approved extraction; count status: legacy_direct_or_audited. Use reconstructed 7/65 as primary blood-culture evidence. The NICD bulletin reports specimens from 106 unique suspected cases and all seven confirmed cases were blood-culture positive. Under the JHK-approved 2026-08-20 amendment, the clinical cohort/testing setting is outside the World Bank FY2027 low- or lower-middle-income target. Retain an otherwise usable pair only as expanded-setting sensitivity evidence.",Y,NI,N,N,PY,Y,PY,PY,N,N,Y,Y,PN,NI,Y,PY,N,N,PY,Y,high,moderate. Blood cultures were unavailable for some patients; 32 Widal tests were requested when culture bottles were unavailable,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,"The clinical index definition is sufficiently explicit and precedes culture: Resident with measured fever >38 C, acute onset, and gastrointestinal symptoms during the outbreak",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: legacy_direct_or_audited.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:N_Cho_2019,clinical_definition_ppv,N'cho 2019,"Harare, Zimbabwe",2017-2018,74/286,target_sensitivity_only,Human-approved extraction; count status: mixed_specimen_maximal_attribution_not_observed_blood_pair. Exclude from the primary blood-culture likelihood. Use 74/286 only as an upper-bound maximal-attribution input for blood-culture positivity because the numerator pools blood stool and rectal-swab positives; it is not an observed blood-culture rate or a strict upper bound on latent true PPV under imperfect culture sensitivity.,Y,NI,N,N,PY,Y,PY,PY,N,N,N,Y,PN,NI,NI,PY,N,N,N,N,high,"major. The 286 cultures and 74 positives pool blood, stool, and rectal-swab specimens; a blood-specific tested/positive pair is not recoverable.",high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,"The clinical index definition is sufficiently explicit and precedes culture: Suspected: the occurrence of fever and at least one of the following symptoms: headache, malaise, abdominal discomfort, vomiting, diarrhea, cough, or constipation. Confirmed: had Typhi isolated from blood, stool, or rectal swab culture",low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",high,The numerator is pooled across specimen types or restricted to XDR S. Typhi rather than the intended all-S. Typhi target condition.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: mixed_specimen_maximal_attribution_not_observed_blood_pair.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Dhadwal_2008,clinical_definition_ppv,Dhadwal 2008,"School, military station, central India",2005,5/92,target_primary,Human-approved extraction; count status: legacy_direct_or_audited. Use 5/92 as primary blood-culture evidence. Interpret latent PPV with structural sensitivity for antibiotic-depressed blood-culture sensitivity and case-definition transportability.,Y,NI,PY,PY,PN,PN,PN,PN,N,Y,Y,NI,PN,NI,Y,PY,Y,Y,PY,Y,low,"negligible/low. NEAR-UNIVERSAL, NOT severity-gated. All 98 were admitted to the same military hospital; all 98 had Widal; 'Ninety two blood cultures were taken' (93.9%). The paper does not say why 6 were not cultured. No severity, consent or capacity gate described",high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",high,"The clinical index definition is incomplete, loosely specified, or not demonstrably independent of diagnostic classification: No standalone syndromic definition. Confirmed = fever >=3 days + positive blood culture; probable = fever >=3 days + positive serodiagnosis without isolation; possible = admitted on clinical suspicion during the outbreak. The effective frame is admission during a known outbreak",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,low,"The aligned same-frame count is direct or near-complete, with minimal missing outcomes within the stated analytic cohort.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
LEGACY:Swaddiwudhipong_2001,clinical_definition_ppv,Swaddiwudhipong 2001,"Rural village, Poppra District, Tak Province, Thailand (Thai-Myanmar border)",1999,5/10,expanded_setting_sensitivity_only,"Human-approved extraction; count status: legacy_direct_or_audited. Exclude from the primary likelihood and retain 5/10 only as a sensitivity analysis. Under the JHK-approved 2026-08-20 amendment, the clinical cohort/testing setting is outside the World Bank FY2027 low- or lower-middle-income target. Retain an otherwise usable pair only as expanded-setting sensitivity evidence.",Y,NI,PY,PY,PY,Y,PY,PY,N,Y,Y,Y,PN,NI,Y,PY,Y,Y,PY,Y,low,"negligible/low. Near-complete testing of the syndromic frame: hemoculture performed in 10 of 11 suspected cases. Active village surveillance, not severity- or admission-gated. The basis for the single untested case is not reported",high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,"The clinical index definition is sufficiently explicit and precedes culture: Fever for >=3 days plus >=3 of abdominal pain, diarrhoea/constipation, nausea/vomiting, malaise/headache, rose spots, splenomegaly, with no other pathogen identified such as malaria",low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,low,"The aligned same-frame count is direct or near-complete, with minimal missing outcomes within the stated analytic cohort.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
NEW:TITLE_c74a9edb23f9,clinical_definition_ppv,Kulkarni 1996,"Katkalamba, Maharashtra, India",1995,9/11,target_sensitivity_only,"Human-approved extraction; count status: reconstructed_by_internal_triangulation. JHK confirmed sensitivity-only use of reconstructed 9/11 on 2026-08-19. Methods and Table 2 support nine S. Typhi-positive blood cultures among 11 blood cultures; Table 1 appears to transpose the blood and stool labels. Only 11 of 415 suspected cases were cultured, and their selection was not described.",Y,NI,N,N,NI,NI,NI,NI,N,N,Y,Y,PY,NI,Y,PY,N,N,PY,PY,high,major. Only 11 of 415 suspected cases were blood cultured; the report does not describe their selection.,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",insufficient_information,"The clinical index definition is incomplete, loosely specified, or not demonstrably independent of diagnostic classification: Fever for at least three days with malaria smear negative; 415 cases met this frame and 108 were clinically examined",high,"The index definition or its application is restricted, severe-disease gated, nonspecific, incompletely reported, or otherwise differs from the intended community suspected-case use.",high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: reconstructed_by_internal_triangulation.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
NEW:PMID_30050612,clinical_definition_ppv,Nyamusore 2018,"Mahama refugee camp, Kirehe District, Rwanda",2015-2016,8/19,target_sensitivity_only,"Human-approved extraction; count status: direct_blood_samples_patient_uniqueness_unclear. Use 8/19 only. Patient uniqueness and selection are unreported. Do not use 1,894, 1,553, or 260 as the suspected denominator or derive a testing fraction.",Y,PY,N,N,PY,Y,PY,PY,N,N,Y,Y,PY,NI,Y,NI,N,N,N,Y,high,major. Nineteen blood samples were collected during the joint investigation on 28-29 November 2015; patient selection and whether samples represented unique patients were not reported.,high,"The estimate comes from a selected, phase-specific, hospital, age-restricted, closed-cohort, or out-of-target-setting frame and is not fully representative of all suspected community cases in the target synthesis.",low,"The clinical index definition is sufficiently explicit and precedes culture: Mahama camp resident presenting from 1 October 2015 to 28 January 2016 with fever for at least three days, with or without listed constitutional or gastrointestinal symptoms",low,The reported clinical definition is broadly compatible with a suspected-typhoid outbreak definition.,high,"Blood culture is highly specific but imperfectly sensitive for latent true typhoid, and incomplete or selected verification is common. The downstream latent model adjusts sensitivity but does not remove the primary-study verification and reference-standard limitations.",low,The intended target condition is S. Typhi infection; blood-culture positivity is an imperfect but specific observation of that target.,high,"Partial verification, selected testing, reconstructed counts, mixed specimens, or uncertain patient units can bias the positive/tested estimate. Count status: direct_blood_samples_patient_uniqueness_unclear.",high,high,"Overall risk is high because the target condition is observed through an imperfect reference standard and, for most estimates, verification is selected or incomplete. This judgment informs sensitivity analysis and does not by itself exclude the estimate.",TRUE,TRUE,,,,,,,,pending
