"outbreak","location","country","period","suspected","bc_confirmed","vehicle","pt_source","env_water","p2p","evidence","theta_cs","mode","confidence","resolution","model","indep_group"
"Lewis 2005","Kathmandu","Nepal","2002","~5,900","culture-confirmed","Single municipal water supply",2,2,0,"S. Typhi from tap PFGE-matched to cases; ended on chlorination (point-source)",0.8,"A common-source","high","daily","Additive renewal-with-source (source-dominant)","independent"
"Aye 2004","Madaya, Mandalay","Myanmar","2000","49","3/22","Myaung River water + contact",1,2,2,"Water aOR 12.5 AND person-to-person aOR 22; small township",0.5,"C mixed","high","weekly","Additive renewal-with-source","independent"
"Muyembe-Tamfum 2009","Kinshasa","DR Congo","2004","peritonitis series","11/16 (peritonitis)","Presumed municipal water",1,1,0,"Untested; severe peritonitis case series (different estimand)",0.65,"A common-source","low","daily","exclude (complications)","independent"
"Ali 2017","Kikwit","DR Congo","2017","~1,500","culture-confirmed","Camp water + overcrowding",2,2,1,"Military-camp water then dissemination to general population",0.5,"C mixed","med","weekly","Additive renewal-with-source (+spatial)","independent"
"Kabwama 2017","Kampala","Uganda","Jan-Jun 2015","10,230","56/364","Vended/spring water (recurrent)",1,2,1,"Recurrent contamination sustained transmission over months; adults 15-59",0.6,"C mixed","med","daily","Additive renewal-with-source","independent"
"Lutterloh 2012","Neno/Tsangano (border)","Malawi/Mozambique","Mar-Nov 2009","303","44/108","Spring water",1,2,1,"E. coli in springs; single PFGE clone (35/42); prolonged ~8 months",0.55,"C mixed","med","fortnightly","Static only","independent"
"Hendriksen 2015","Lusaka","Zambia","2010-2012","~2,040","94 isolates (pooled)","Water/sanitation (endemic)",0,2,2,"Single H58 clone 83%; multi-peak 33-month endemic/propagated",0.45,"C mixed","med(est.)","monthly","Static only (+ODE)","independent"
"Davis 2018","Harare","Zimbabwe","2016-2017","~880","borehole-linked","Boreholes",1,2,0,"13/18 boreholes fecal-coliform+; declined after repair (common-source)",0.725,"A common-source","med","daily","Additive renewal-with-source (+ODE)","Harare-recurrent (season 1)"
"N'Cho 2019","Harare","Zimbabwe","2017-2018","~580","74/286 (mixed spec.)","Boreholes/shallow wells",1,2,0,"Boreholes/wells amid water shortage; WASH-terminated",0.8,"A common-source","med","daily","Additive renewal-with-source (+ODE)","Harare-recurrent (season 2)"
"Neil 2012","Kasese","Uganda","2008-2009","709 (+ IP-heavy)","19/54","No vehicle implicated",0,1,2,"No vehicle; multi-strain PFGE; prolonged ~19 mo; propagated",0.2,"B propagated","med","weekly","Additive renewal-with-source (propagated-dominant)","KASESE-UGANDA (canonical)"
"Walters 2014 (Kasese)","Kasese","Uganda","2009-2011","709","7/74","Piped water (taps/rivers)",0,2,1,"E. coli taps/rivers; NO clustering by water source; continuous multi-year",0.2,"B propagated (=Neil)","med(est.)","monthly","Static (redundant)","KASESE-UGANDA (=Neil)"
"Walters 2014 (Bundibugyo)","Bundibugyo","Uganda","2011","333","15/72","Gravity-flow-scheme piped water",2,2,1,"Single GFS implicated; clustering; E. coli intake->taps (common-source)",0.7,"A common-source","med(est.)","monthly","Static only","KASESE-UGANDA (linked spread)"
"Polonsky 2014 (Dzivaresekwa)","Harare (Dzivaresekwa)","Zimbabwe","2012","916","62 pooled/3,795","Borehole water",0,2,2,"Borehole; 'long-cycle transmission predominated'; poor common-source fit (r2 0.07)",0.5,"C mixed (propagated-lean)","med","weekly","Additive renewal-with-source (propagated-lean)","HARARE 2011-12 (canonical)"
"Polonsky 2014 (Kuwadzana)","Harare (Kuwadzana)","Zimbabwe","2012","1,860","(pooled)","Borehole water",0,2,2,"Borehole; epicentre shifted here; long-cycle",0.5,"C mixed","med","weekly","Additive renewal-with-source","HARARE 2011-12"
"Muti 2014","Harare (Dzivaresekwa)","Zimbabwe","2011","1,078","24 pooled/1,078","Wells",0,2,2,"Wells E. coli (8/8) AND home-contact aOR 8.3 (propagated)",0.5,"C mixed","high","daily","Additive renewal-with-source (redundant)","HARARE 2011-12"
"Imanishi 2014 (Dzivaresekwa)","Harare (Dzivaresekwa)","Zimbabwe","2011-2012","4,181 (Harare total)","52 pooled/4,181","Boreholes/shallow wells",1,2,0,"Case-control implicated water; boreholes E. coli; no secondary analysis",0.5,"A/C water","med(est.)","monthly","Static (redundant)","HARARE 2011-12"
"Imanishi 2014 (Kuwadzana)","Harare (Kuwadzana)","Zimbabwe","2011-2012","4,181 (Harare total)","(pooled)","Boreholes/shallow wells",1,2,0,"Same (Harare 2011-12 epidemic)",0.5,"A/C water","med(est.)","monthly","Static (redundant)","HARARE 2011-12"
"Qamar 2018","Hyderabad","Pakistan","2016-2017","~586","70/170 (XDR)","Sewage-contaminated water",0,2,2,"Sewage S. Typhi DNA; 2-weekly growing peaks -> strongly propagated (r2 0)",0.5,"C mixed (propagated, data theta 0.05)","high","weekly","Additive renewal-with-source (propagated-lean)","HYDERABAD-XDR (canonical)"
"Yousafzai 2019","Hyderabad","Pakistan","2016-2018","101 (confirmed)","101/101 (confirmed)","Sewage-contaminated water",0,2,2,"Cyclical curve -> propagated XDR clone",0.5,"C mixed (propagated, data theta 0.38)","med","weekly","Additive renewal-with-source (redundant)","HYDERABAD-XDR"
