decision_date,study,primary_include,sensitivity_use,audited_suspected_testing_frame,audited_blood_tested,audited_blood_positive,blood_volume_ml,verification_adjustment_grade,denominator_compatibility_override,recommended_use_override,audit_notes_override,clinical_testing_country_or_economy,world_bank_fy2027_income_group,target_income_setting_eligible,target_scope_disposition,target_synthesis_role
8/13/2026,Aye 2004,TRUE,Selection-bias structural sensitivity,49,22,3,,major,Compatible tested denominator but not representative of all suspected cases,human-adjudicated primary evidence,Use 3/22 as primary blood-culture evidence; incomplete verification has an unreported selection mechanism.,Myanmar,Lower middle income,TRUE,target_eligible,target_primary
8/13/2026,Neil 2012,TRUE,Selection and time-varying ascertainment sensitivity,577,54,19,,major,Corrected blood-specific denominator is valid for the cultured subset but not representative of all 577 suspected cases,human-adjudicated primary evidence,Use 19/54 as primary blood-culture evidence; reject the obsolete pooled 25/63 count.,Uganda,Low income,TRUE,target_eligible,target_primary
8/13/2026,Kabwama 2017,TRUE,Selection-bias structural sensitivity,10230,364,56,,major,Corrected tested denominator is valid for the cultured subset but not demonstrated representative of all 10230 suspected cases,human-adjudicated primary evidence,Use 56/364 as primary blood-culture evidence; reject the stale 51/364 count.,Uganda,Low income,TRUE,target_eligible,target_primary
8/13/2026,Hu 2022,FALSE,Expanded-setting transportability sensitivity only; World Bank FY2027 upper-middle-income economy,31,31,24,5,,Complete blood testing within the reported suspected-case frame,expanded-setting sensitivity only; outside target low- or lower-middle-income synthesis,"Use 24/31 as primary blood-culture evidence and fix blood volume at the verified 5 mL. Under the JHK-approved 2026-08-20 amendment, the clinical cohort/testing setting is outside the World Bank FY2027 low- or lower-middle-income target. Retain an otherwise usable pair only as expanded-setting sensitivity evidence.",China,Upper middle income,FALSE,expanded_setting_sensitivity_only,expanded_setting_sensitivity_only
8/13/2026,Makungo 2020,FALSE,Expanded-setting transportability sensitivity only; World Bank FY2027 upper-middle-income economy,122,65,7,,,The NICD bulletin establishes a patient-level blood-culture denominator; partial testing was partly resource-driven and may not represent all 122 suspected cases,expanded-setting sensitivity only; outside target low- or lower-middle-income synthesis,"Use reconstructed 7/65 as primary blood-culture evidence. The NICD bulletin reports specimens from 106 unique suspected cases and all seven confirmed cases were blood-culture positive. Under the JHK-approved 2026-08-20 amendment, the clinical cohort/testing setting is outside the World Bank FY2027 low- or lower-middle-income target. Retain an otherwise usable pair only as expanded-setting sensitivity evidence.",South Africa,Upper middle income,FALSE,expanded_setting_sensitivity_only,expanded_setting_sensitivity_only
8/13/2026,N'cho 2019,FALSE,Partial-identification and maximal blood-attribution sensitivity only,583,286,74,,,The 286 cultures are not disaggregated by blood stool or rectal swab; no blood-specific tested/positive pair is recoverable,sensitivity only: mixed-specimen maximal-attribution and partial-identification analysis,Exclude from the primary blood-culture likelihood. Use 74/286 only as an upper-bound maximal-attribution input for blood-culture positivity because the numerator pools blood stool and rectal-swab positives; it is not an observed blood-culture rate or a strict upper bound on latent true PPV under imperfect culture sensitivity.,Zimbabwe,Lower middle income,TRUE,target_eligible,target_sensitivity_only
8/13/2026,Dhadwal 2008,TRUE,Reduced blood-culture sensitivity after prior antibiotics and leave-one-study-out sensitivity,98,92,5,,negligible/low,The 5/92 pair is blood-specific with 93.9 percent testing coverage; clinical eligibility is incompletely specified and the cohort was classified predominantly by Widal after admission,human-adjudicated primary evidence,Use 5/92 as primary blood-culture evidence. Interpret latent PPV with structural sensitivity for antibiotic-depressed blood-culture sensitivity and case-definition transportability.,India,Lower middle income,TRUE,target_eligible,target_primary
8/13/2026,Swaddiwudhipong 2001,FALSE,Expanded-setting transportability and small-study sensitivity only; World Bank FY2027 upper-middle-income economy,11,10,5,,,The 5/10 pair is blood-specific with near-complete testing but falls below the human-approved primary sample-size rule,expanded-setting sensitivity only; outside target income setting and below 20 cultured patients,"Exclude from the primary likelihood and retain 5/10 only as a sensitivity analysis. Under the JHK-approved 2026-08-20 amendment, the clinical cohort/testing setting is outside the World Bank FY2027 low- or lower-middle-income target. Retain an otherwise usable pair only as expanded-setting sensitivity evidence.",Thailand,Upper middle income,FALSE,expanded_setting_sensitivity_only,expanded_setting_sensitivity_only
8/19/2026,Kulkarni 1996,FALSE,Selected-sample and reconstructed-count sensitivity only,415,11,9,,,Valid only for the selected cultured subset; not representative of all 415 suspected cases,sensitivity only: reconstructed blood-specific pair from selected patients,"JHK confirmed sensitivity-only use of reconstructed 9/11 on 2026-08-19. Methods and Table 2 support nine S. Typhi-positive blood cultures among 11 blood cultures; Table 1 appears to transpose the blood and stool labels. Only 11 of 415 suspected cases were cultured, and their selection was not described.",India,Lower middle income,TRUE,target_eligible,target_sensitivity_only
8/20/2026,Nyamusore 2018,FALSE,Early-phase blood-sample yield with unknown patient selection and patient uniqueness,,19,8,,,"Direct blood-sample tested/positive pair, but no patient-level syndromic denominator is temporally aligned with the 28-29 November investigation.",sensitivity only: early selected blood-sample yield,"Use 8/19 only. Patient uniqueness and selection are unreported. Do not use 1,894, 1,553, or 260 as the suspected denominator or derive a testing fraction.",Rwanda,Low income,TRUE,target_eligible,target_sensitivity_only
8/20/2026,Arora 1992,FALSE,Hospital-admitted pediatric suspected-case frame; direct 98/117 with complete blood-culture testing,117,117,98,,,"Compatible within the admitted suspected-patient frame, but not representative of all community suspected cases.",sensitivity only: hospital-admitted denominator,"Table IV directly reports 98/117 blood cultures positive and Methods states that all 117 admitted suspected cases were cultured. Do not pool the separate 7/7 bone-marrow result because the paper states 103 total culture-positive cases, inconsistent with 98 plus 7.",India,Lower middle income,TRUE,target_eligible,target_sensitivity_only
8/20/2026,Lightowler MS 2022,TRUE,"Harare-family overlap, restricted-frame, and leave-one-out sensitivity",504,499,148,,negligible/low,"Near-complete verification within the age-, facility-, suburb-, and campaign-restricted eligible frame; transportability beyond that frame remains limited.",human-adjudicated primary evidence with Harare-family overlap sensitivity,JHK approved 148/499 for primary analysis on 2026-08-20. Two eligible participants lacked blood collection and three cultures were contaminated; retain overlap and restricted-frame sensitivity analyses.,Zimbabwe,Lower middle income,TRUE,target_eligible,target_primary
8/20/2026,Yousafzai MT 2021,TRUE,Major verification-selection and Hyderabad-family overlap sensitivity,5378,2496,775,,major,"The all-S. Typhi pair is valid for cultured children, but only 46.4% of suspected children were cultured and representativeness is uncertain.",human-adjudicated primary evidence; preferred Hyderabad-family observation,"JHK approved 775/2,496 for primary analysis on 2026-08-20. It is the preferred all-S. Typhi Hyderabad-family observation; Qamar 2018 remains sensitivity-only.",Pakistan,Lower middle income,TRUE,target_eligible,target_primary
8/20/2026,Bhunia 2009,FALSE,Very small selected-sample sensitivity only,103,4,1,,,Valid only for four selected antibiotic-naive cultured patients; not representative of all 103 suspected cases.,sensitivity only: very small selected cultured subset,JHK approved sensitivity-only use of direct 1/4 on 2026-08-20 because only four of 103 suspected cases were cultured.,India,Lower middle income,TRUE,target_eligible,target_sensitivity_only
