study_id,renewal_set,type,case_definition,confirmation_method,suspected_confirmed_both,definition_changed_midoutbreak,catchment,severity_restriction,confidence,citation
Aye 2004,Y,C,"Tiered: suspected = fever >=7 d + >=1 abdominal symptom; probable = + positive Widal/Diazo; confirmed = + culture",Widal/Diazo + blood culture,yes (49 suspected / 33 probable / 3 confirmed; 3/49 culture),no,community house-to-house + station hospital,none,high,Aye & Siriarayapon 2004 J Med Assoc Thai
Lewis 2005,Y,A,"Fever clinically suspected by physician to be typhoid (hospital registers); no lab requirement to count",clinical; culture on 100-pt subset (~35% positive),partial (5963 suspected; culture subset only),no,hospital ED/outpatient registers,none,high,Lewis et al. 2005 Clin Infect Dis
Muyembe-Tamfum 2009,Y,D,"Peritonitis admission with perforation pattern consistent with typhoid (surgical case series); 144 peritonitis cases counted",surgical/clinical; blood culture in 16/144 (11 positive),yes (144 counted / ~11 culture-confirmed ~8%),no,hospital surgical/referral wards (Kinshasa),perforation/peritonitis only,high,Muyembe-Tamfum et al. 2009 Travel Med Infect Dis
Neil 2012,Y,A,"Suspected = fever + abdominal pain + >=1 of vomiting/diarrhea/weakness/headache/no antimalarial response/perforation (perforation optional, not required)",clinical/syndromic + culture/TUBEX on subset (27/81 positive),yes (577 suspected / 27 confirmed of 81 tested),yes (retrospective IP-skewed then prospective enhanced surveillance from 2009),mixed: hospital IP line-lists + prospective enhanced surveillance + community survey,none (IP rate 43% passive vs 5-8% enhanced),high,Neil et al. 2012 Clin Infect Dis
Ali 2017,Y,A,"MOPH suspected: fever >=38C >3 d + digestive disorder + negative malaria test; confirmed = + S. Typhi isolate",clinical (limited lab); culture only at onset,partial (1430 reported; small initial culture subset),yes (initial cases lab-confirmed then switched to purely clinical),community/semi-urban MOPH line list,none (~5% perforation),high,Ali et al. 2017 Pan Afr Med J
"Polonsky 2014, Dzivaresekwa",Y,A,"Modified WHO suspected: gradual persistent fever + typhoid symptoms (City Health register)",mostly clinical; culture confirmation ~1.2% overall,yes pooled (62/3795 = 1.2% confirmed; Dziv 785 suspected),no,community/health-facility surveillance register,none,high,Polonsky et al. 2014 PLoS ONE
Polonsky 2014_Kuwadzana,Y,A,"Same modified WHO suspected-case definition (same register)",mostly clinical; ~1.2% culture-confirmed,yes pooled (Kuw 1785 suspected; confirmed 62/3795 overall),no,community/health-facility surveillance register,none,high,Polonsky et al. 2014 PLoS ONE
Muti 2014,Y,A,"Dzivaresekwa resident with fever >3 d + malaise/headache/vomiting/diarrhea/cough (clinical/suspected)",clinical; culture/serotyping on subset,yes (24 culture / 1078 suspected ~2.2%),no,community + outpatient clinic line-listing,none (outpatient; no perforations),high,Muti et al. 2014 Pan Afr Med J
Kabwama 2017,Y,C,"Tiered: suspected = fever >=37.5C >=3 d + headache + abdominal pain + negative malaria + >=2 GI symptoms; probable = + TUBEX+; confirmed = + culture",blood culture + TUBEX TF,yes (10230 suspected / 1038 probable / ~51-56 confirmed ~0.5%),no,facility surveillance at 6 treatment centers,none,high,Kabwama et al. 2017 BMC Public Health
Qamar 2018,Y,B,"Reported cases are blood-culture-confirmed ceftriaxone-resistant (XDR) S. Typhi (Hyderabad resident); suspected definition existed but headline counts are confirmed-only",blood culture (MIC/serotype),partial (486 confirmed; active surv 170 suspected -> 70 confirmed 41%),no,active sentinel + community + lab-based surveillance,none (~48% hospitalized),high,Qamar et al. 2018 Lancet Infect Dis
Davis 2018,Y,F,"Not assessed - Zotero PDF misfiled (yellow fever); by analogy to N'Cho 2019 likely WHO suspected + culture-confirmed subset",unknown (analogy: blood/stool culture),unknown,unclear,unknown (analogy: city surveillance + treatment center),unknown,low,Davis et al. 2018 MMWR (PDF misfiled)
Yousafzai 2019,Y,B,"Reported cases are blood-culture-confirmed ceftriaxone-resistant (XDR) S. Typhi; suspected = febrile contact of a confirmed case (counts are confirmed-only)",blood culture (BACTEC/MIC),partial (101 confirmed; no suspected total),no,lab surveillance + sentinel hospitals + contacts,none (60% hospitalized),high,Yousafzai et al. 2019 Clin Infect Dis
N'Cho 2019,Y,C,"Suspected = fever + >=1 typhoid symptom (WHO 2011); confirmed = culture (blood/stool/rectal swab)",blood/stool/rectal swab culture,yes (3187 suspected / 191 confirmed; 74/286 cultured inpatients 26%),no,city surveillance + treatment center,none (1 perforation; complications noted),high,N'Cho et al. 2019 MMWR
Lutterloh 2012,N,C,"Tiered: suspected = fever + >=1 GI/neuro symptom; probable = + TUBEX+; confirmed = culture",blood/stool culture + TUBEX,yes (214 suspected / 43 probable / 46 confirmed ~15%),yes (definitions altered after lab substantiation),community active surveillance + clinics + hospital chart review,none,high,Lutterloh et al. 2012 Clin Infect Dis
Hendriksen 2015,N,B,"No clear epidemiologic case definition; case counts (2040) from MoH/lab records; study isolates culture+PCR confirmed",blood/stool culture + PCR (isolates),partial (2040 cases / 94 isolates),unclear,hospital/laboratory-based retrospective,none stated,med,Hendriksen et al. 2015 J Clin Microbiol
"Imanishi 2014, Dzivaresekwa",N,A,"Suspected = fever >=3 d + typhoid symptom + Harare residence since Oct 2011 (culturing fraction reduced mid-outbreak, definition unchanged)",mostly clinical; culture (every 5th then 10th case),yes city-wide (4181 suspected / 52 confirmed),no (only culturing sampling fraction changed),community surveillance (all 52 Harare health centers),none,high,Imanishi et al. 2014 Am J Trop Med Hyg
